"","x"
"90","rezim bangsat bangsa sudah mulai panik melakukan pemberangusan kebebasan akademik dengan alasan politik yang an "
"91","setuju"
"92","anda ingin santet orang pki gampang caranya  bakarlah atribut atribut mereka maka mereka semua bakal merasakan k "
"93","dr dulu ane mah gk percaya sm pedeipeh apelagi saat namanye ditambah pake perjuangan berak sekebon          "
"94","dari setiap pemimpin kita bisa menilai cara berfikir yang baik untuk rakyat dan ya seperti itulah    "
"95","di amrik sono seorang meninggal karena ulah isilop warga langsung geger dan pemerintah nya dibuat malu oleh isilop "
"96","emang ada tagar ya  laterus nanti di tangkep ga yang naikin tagar"
"97","dr dulu ane mah gk percaya sm pedeipeh apelagi saat namanye ditambah pake perjuangan berak sekebon        "
"98","jngn pake kendor       "
"99","knp pengen apa krn yaa"
"100","noraknya beda tipis sama pria berseragam yang suka nyita buku"
"101","terimakasih atas penjelasannya pak presiden kami sebagai masyarakat semakin faham manfaat dari psb "
"102","teruskan atau ganti     karena kami pikir akan segera rubuh nkri ini  bila dia teruskan     "
"103","teruskan atau ganti     karena kami pikir akan segera rubuh nkri ini  bila dia teruskan  "
"104","luhut wiranto da hendro priyono itu produk orba dan "
"105","pamali sama kyai cuk"
"106","nanti di bales lagi kayak sama pak diem lagi karena kalah kata kata ahhh sudahlah  "
"107","gak nyangka aja bagaimana orang menjadi sangat buas dan seakan mereka itu lebih pintar   "
"108","surat terbuka wni tionghoa minta jokowi mundur untuk cegah perpecahan   eramuslim  ruslan buton ditangkap karena membuat "
"109","terlalu baper sebenarnya bang  masa tagar     bisa jadi masalah jd ikutan takut nulis tu tagar"
"110","saya tidak akan marah jika dikritik rakyat awalnya   saya akan tangkap jika ada yg kritik saya akhirnya"
"111","apkh menrt bpk tema pembahasn yg diangkt mahasiswa sbgi bhan d "
"112","banyak tagar seperti muncul akhir ini karena apa siapa yan "
"113","nih lihat takut panas pantat para oknum rezim udah mulai gemetar mereka rakyat mau kebenaran malah diberi ancaman    "
"114","begitu jabatan didapat praktis lupa ingatan           semprot dasco politisi demokrat k "
"115","nih lihat takut panas pantat para oknum rezim udah mulai gemetar mereka rakyat mau kebenaran malah diberi a "
"116","jika anda ketemu jokowi sedang ngibul enaknya di apa in  catatan   polisi sudah bosan juga dan sakit hati "
"117","saya sama sekali ga melihat jokowi mengurusi kepentingan rakyat indonesia menyusahkan sih iya jadi yes"
"118","banyak tagar seperti muncul akhir ini karena apa siapa yang memulai"
"119","kebijakan pak itu sering plin plan kok sekarang bilang fokus  bahaya lo pak jika kbjkan pemimpin "
"120","apkh menrt bpk tema pembahasn yg diangkt mahasiswa sbgi "
"121","begitu jabatan didapat praktis lupa ingatan           semprot dasco politisi demok "
"122","akan tetap membangkang terhadap kebijakanmu yg tidak pro terhadap rakyat kecil             "
"123","ngutang mulu   "
"124","bisa bisa tagar  bisa jadi trading topik dunia cuma bilang  koq "
"125","tren sampah  main di balik layar mengadu domba warganet "
"126","tren apa ini  saya heran di indonesia rakyat berlomba lomba menjatuhkan pemi "
"127","terus coba gw cek ada"
"128","bazzer itu anjing makan taik smua"
"129","sebaiknya dan biarkan sebelum perintahkan mel "
"130","sidang tanding rakyat untuk membatalkan uu minerba          "
"131","bangsa yang besar adalah bangsa yang menghormati para pahlawannya  bangsa yang besar adalah bangsa yang menghargai "
"132","di tahun diawal pemerintahan banyak orang di phk mau makan apa"
"133","seng seng aman tenang saja   kolonel ruslan buton seorang patriot yg ditakuti pemerintah     "
"134","boneka dungu itu takut diganti"
"135","gimana rasanya di prank berkali sm pak de"
"136","diingatkan seorang patriot bukannya sadar malah main tangkap  katanya pilihan rakyat"
"137","diingatkan seorang patriot bukannya sadar malah main tangkap  katanya pilihan rakyat     "
"138","dah biasa rezim ini nabrak aturan"
"139","hajar tuman"
"140","jika tdk mampu menyelamatkan ekonomi dan menyelamatkan nyawa rakyat akibat pandemi covid corona virus  lbih baik "
"141","jokowi gak cinta karya anak negeri mulutnya doang manis"
"142","ternyata menjadi kandidat lebih gampang ya di banding ikut pencarian bakat  "
"143","setelah kepala bpib penganut sex tanpa nikah sekarang direktur tvri raja bokep  mau dibawa kemana negara ini "
"144","survei warga tak puas dengan langkah jokowi atasi pengangguran saat corona"
"145","ayo  bangkitlah para ksatri sejati         "
"146","ngurus corona aja plinplan giliran urusan dirut bokep cepet banget  adili itu media asing klo berani"
"147","kerja kerja kerja kerjanya ngutang"
"148","sebaiknya dan biarkan sebelum perintahkan "
"149","alhamdulilah semoga allah swt mengabul kan doa kita apa yg di prediksi oleh smc menjadi kenyataan"
"150","sebelum ruslan buton khoe seng seng sudah lebih dulu minta jokowi mundur swamedium"
"151","tetap tegar negara sudah di titik nadir kehancuran  jokowi sudah siap untuk lengser atau "
"152","nah ini contoh yg patut diwaspadai msh mau tetep new normal"
"153","koq knp dikembalikan ke pengelola mau cuci tgn aja nih pemerintah"
"154","saya koq sependapat"
"155","surat terbuka wni tionghoa minta jokowi mundur untuk cegah perpecahan   eramuslim  ruslan buton ditangkap karena m "
"156","sebelumnya yg sempet trending sekarang yg trending   buzzer politik nampaknya "
"157","wes pirang wulan iki    kuangen     "
"158","knp lg ramai tagar"
"159","min yang beginian gak usah di post gak berbobot pengamat ayam sayur dibilang intelijen"
"160","realita depan mata yg aneh dn ajaib jd sbnarnya ini apa yg sedang terjadi   gaes apa tanggapan kalian  "
"161","lebih baik mundur dari pada dimundurkan paksa lebih baik mundur daripada smakin hancur lebur babak belur ajur mum "
"162","presiden jocovid kenapa sih makin aneh aja arahannya pake ngangkat brotosenonoh segala buat jadi petinggi tvri "
"163","jalan terbaik   paling baik terbaik"
"164","salam dari m nuh"
